prev_hawkishness,prev_uncertainty,prev_concern,is_crisis,is_hiking,is_post_covid,chair_bernanke,chair_greenspan,chair_powell,chair_yellen,q_1,q_2,q_3,q_4,treasury_2yr_level,treasury_10yr_level,vix_level,dxy_level,breakeven_5yr_level,hy_spread_level,treasury_2yr_trend,treasury_10yr_trend,vix_trend,dxy_trend,breakeven_5yr_trend,hy_spread_trend,treasury_2yr_vol,treasury_10yr_vol,vix_vol,dxy_vol,breakeven_5yr_vol,hy_spread_vol
-0.27946162,-0.0032077974,-0.020527339,0.0018474837,-0.012675408,0.0,-0.00217237,-0.0088927485,-0.00011684815,0.0006494727,0.02326721,-0.0011060472,-0.0051568556,-0.008001131,-0.02409768,-0.026637087,0.21794233,0.12342166,-0.04865108,0.0,0.10869172,0.13253827,0.05778645,0.037065048,0.041882057,0.0,-0.022204405,-0.016364302,0.0946584,-0.010174479,0.08158864,0.0
0.28151193,-0.029359473,-0.07073286,0.00035033905,-0.017954763,0.0,-0.0020673978,-0.012284577,-5.3303247e-05,-0.000382138,0.035151552,-0.0014950592,-0.006122094,-0.00922603,-0.004562304,-0.013805071,0.08968056,0.09748514,0.002592354,0.0,0.013830024,-0.04289096,0.07841082,0.05395999,0.02961897,0.0,-0.040204704,0.0016649137,-0.016549362,-0.012515519,0.045719747,0.0
0.27378905,-0.015205858,-0.12289153,0.00015461359,-0.018328805,0.0,-0.0038798605,-0.01569316,-0.00014230477,-3.3484448e-05,0.036995582,-0.0015882793,0.0031005773,0.022140946,-0.001568371,-0.011618756,0.100344285,0.102419816,0.0046416996,0.0,0.010955286,0.045344584,0.0135406,-0.014957577,0.033371814,0.0,-0.042962,-0.0028579573,-0.00919021,0.0057061804,0.045939736,0.0
0.20489767,-0.055068348,-0.06859923,0.00011031615,-0.018191833,0.0,-0.0026812474,-0.01685109,-0.0001232741,0.0004769782,0.036812995,-0.0009033913,0.00037051004,0.017293692,-0.011547686,-0.015408882,0.07504426,0.08065695,0.024078697,0.0,0.014003454,-0.043457747,0.012900817,-0.017723966,-0.026231278,0.0,-0.047928583,-0.02154247,-0.00038936787,-0.0055191666,0.008647018,0.0
-0.008323777,-0.034388922,-0.035865083,-0.00012614996,-0.014189993,0.0,-0.0022655195,-0.020987969,-0.00030038034,-0.0007001103,-0.07453067,-0.0013582271,0.0012682455,-0.008205787,-0.009672013,-0.01557759,0.12142553,0.07817871,0.031072604,0.0,0.002967984,-0.0074459375,0.044556215,0.013964191,-0.02137121,0.0,-0.016664216,0.0007910075,-0.011944982,-0.01499117,0.021902286,0.0
-0.0111331865,-0.01260351,-0.041355148,-0.0025869177,-0.013005878,0.0,-0.007215962,-0.014552067,-0.00027822566,-0.0005213015,-0.0913465,-0.0013307405,0.003521832,-0.008323086,-0.009448478,-0.0009251471,0.11591992,0.06537051,0.19404514,0.0,0.00088150543,-0.041875236,0.017843718,0.0024105662,-0.03609031,0.0,-0.015676768,0.012283371,-0.016421579,-0.0047829165,0.0036814634,0.0
-0.046585668,-0.041530777,-0.027308902,-0.0032730633,-0.009724187,0.0,-0.0033020354,-0.012963531,-0.00027822566,0.0012621973,0.029193532,0.0051570213,0.00061804,-0.01318245,-0.032724883,-0.019121386,0.11131564,0.046862047,0.08629007,0.0,-0.022980187,0.034659255,-0.045908198,-0.025747096,-0.08122326,0.0,-0.050226983,-0.06326878,-0.019539429,-0.036194257,-0.035682365,0.0
-0.06986597,0.03766836,0.0003223619,-0.00241808,0.018641721,0.0,-0.0105991885,-0.015562354,-0.00019524818,0.0009547327,0.02653778,0.010030464,0.00091515575,-0.005070778,-0.020194307,-0.027704405,0.08788538,0.05221304,0.24646996,0.0,-0.027434517,-0.036770508,-0.02444364,0.0055323867,0.05646279,0.0,-0.016865566,0.023399755,-0.0059835003,0.010193157,-0.028561715,0.0
0.011860259,-0.06825875,-0.040078472,-0.0004805086,-0.0006118574,0.0,-0.0043494566,-0.01913305,-0.00021332379,-0.00045344644,0.03495046,-0.0025180303,-0.0063569145,-0.008807146,-0.021531122,-0.0073134005,0.091230825,0.045989394,0.09407281,0.0,0.00039780996,-0.033653136,-0.015614527,0.0075497674,-0.04114968,0.0,-0.036254905,-0.014740007,-0.017691636,-0.019220399,-0.007341001,0.0
-0.07847021,-0.065486304,-0.021199804,-0.003793872,-0.0021101187,0.0,-0.0031310134,-0.016522732,-0.00025627186,-0.0016750281,0.030087836,-0.0044368724,-0.008025531,-0.009107669,-0.02466589,-0.020923847,0.082008265,0.047509175,0.12457943,0.0,0.000490189,-0.019187532,-0.0396135,0.023390105,0.033999268,0.0,0.03652228,0.0083179865,-0.038069073,0.021802543,-0.044092305,0.0
-0.03369559,-0.061253835,-0.043154553,-0.0037681416,-0.00087782356,0.0,-0.006304747,-0.016279984,-0.0002363741,-0.0004155695,0.031113561,-0.0029196944,0.0027361806,0.013252353,-0.020643182,-0.004205003,0.10893815,0.051514987,0.14427388,0.0,0.016827198,-0.05054311,0.019592993,-0.034365382,0.01748374,0.0,-0.0040454124,0.018184481,-0.023676645,-0.017333426,0.028626055,0.0
-0.07328055,-0.06944355,-0.026043044,-0.004247082,0.0027240997,0.0,-0.012243766,-0.013912618,-0.0002372579,0.0014134905,0.025786765,-0.0071864724,0.000536212,0.014566506,-0.03412049,-0.009318671,0.10662397,-0.01847609,0.068741396,0.0,-0.048139073,0.01453594,0.028191097,-0.024374269,-0.04829514,0.0,-0.03685596,0.006599442,0.025736101,-0.026799984,-0.03441174,0.0
