sbert_pca_0,sbert_pca_1,sbert_pca_2,sbert_pca_3,sbert_pca_4,sbert_pca_5,sbert_pca_6,sbert_pca_7,sbert_pca_8,sbert_pca_9
0.26175958,0.014502823,-0.077384464,0.091560066,-0.07867098,0.02265945,-0.009687513,0.0045974106,-0.061282188,-0.01036031
0.28061247,0.026980817,-0.11316158,0.081665695,0.014496656,0.04575135,-0.038948856,0.039726734,-0.029580552,-0.022416882
0.23535298,0.02744335,-0.11967337,0.0952615,0.048182763,-0.0018957183,-0.049249582,0.05323098,-0.020048633,-0.016965494
0.2827723,-0.0044313967,-0.09701132,0.07078119,0.033582006,0.020216107,0.0115798935,0.05747485,-0.0046129823,0.030692067
0.28034973,0.0019664764,-0.12649417,0.090621576,0.017654352,0.040064275,0.00012482703,0.056659583,-0.031959325,0.0057525076
0.24904083,0.041615427,-0.18906768,0.0913129,0.06076157,0.0056892037,-0.03619898,0.023675043,-0.095161416,-0.017925536
0.25471103,0.030717313,-0.18221834,0.12010578,0.03927162,0.009143695,-0.029638313,0.038207747,-0.068444654,-0.018846488
0.2448958,0.03134024,-0.15099853,0.091368474,0.014764333,0.0015257746,-0.03367468,-0.0313395,-0.07191018,-0.05808825
0.24639733,0.0347625,-0.16892333,0.12422736,0.040342763,-0.01242473,-0.0071838275,0.009372648,-0.028774828,-0.04015902
-0.18011546,-1.1479752,-0.19937822,-0.12718341,-0.014349589,0.05117546,-0.05672285,0.015231336,0.010764644,0.030283716
0.25887656,0.012919724,-0.15890406,0.10680759,0.005430948,-0.03087771,0.0030791238,0.019136569,-0.020095598,0.0600294
0.24109001,0.061384678,-0.16336183,0.060829666,0.03810565,0.02210942,-0.026705638,-0.00791705,-0.06414236,-0.0431779
0.22391699,0.043807983,-0.17221014,0.059948493,0.0008291993,0.004729256,-0.0014217943,-0.0043743104,-0.034494806,-0.06477413
0.29252058,0.02260983,-0.12567063,0.09183444,0.06793783,-0.033691876,-0.0058368146,-0.03380907,-0.027116068,-0.114550635
0.29646134,0.018388331,-0.1424895,0.10343076,0.044120252,-0.03614527,-0.015868261,-0.030582208,-0.044256844,-0.084446125
0.20681883,-0.1534065,-0.08137137,0.02233953,0.038503144,-0.22680864,-0.011452861,0.17338382,0.0680578,-0.05347789
0.21413441,-0.102783084,-0.09041793,0.011649612,-0.03031736,-0.214998,0.02205307,0.1291367,0.06694893,-0.13369441
0.23583637,-0.056215763,-0.09853512,0.020503815,0.014318254,-0.17676093,0.02389457,0.04013251,0.056850113,-0.07643458
0.2378688,0.05325395,-0.16093351,0.08745684,0.03441549,-0.023995094,0.0016615614,-0.06692566,0.030208133,-0.06298061
0.23217015,0.048624337,-0.15764892,0.074424125,0.056164406,-0.052160963,-0.07612187,-0.039430257,-0.032612637,-0.04678962
0.26514864,0.047548592,-0.16364124,0.09843625,0.057784267,-0.028442532,-0.054025814,-0.04200292,0.004786305,-0.07821673
0.15410839,0.055673957,-0.17091863,0.0472456,0.017767897,-0.071491204,-0.09210728,-0.09428315,-0.008955359,-0.042927373
0.14709933,0.046208322,-0.1749195,0.053340517,-0.008305894,-0.049460106,-0.108118236,-0.088050336,0.004716508,-0.011042699
0.14046083,0.03991276,-0.17087868,0.061933342,0.00634161,-0.05599218,-0.11319031,-0.09138404,0.025058918,-0.026886549
0.16318612,0.05055493,-0.13051398,0.029226426,0.003826104,-0.05906976,-0.09392153,-0.113327265,0.016392909,-0.024784058
0.16898309,0.051496208,-0.15513109,0.11412455,0.047532126,-0.044386484,-0.09563139,-0.07559998,0.0068522394,-0.022220429
0.11679198,0.06479758,-0.2129475,0.111132935,0.10247142,0.028966948,-0.15967168,-0.06061637,0.004726954,-0.09726616
0.12723546,0.0457865,-0.24935648,0.12597543,0.10710121,-0.01142513,-0.1357957,-0.017880127,-0.022845238,-0.115538314
0.14023544,0.047633946,-0.20080785,0.10495196,0.10304821,0.028937772,-0.15584992,-0.077074334,-0.014682315,-0.07520037
0.13678055,0.056827843,-0.2070955,0.108515784,0.12614933,0.0020049661,-0.16537161,-0.055614453,-0.02037995,-0.07635991
0.14422165,0.06416541,-0.19498925,0.07829931,0.12859982,0.020331204,-0.12104118,-0.042134922,0.016907044,-0.07072092
0.14285012,0.054804385,-0.1926842,0.08758004,0.106427796,0.017159417,-0.14805117,-0.05512147,-0.01805953,-0.08366604
